Number;Start time in milliseconds;End time in milliseconds;"Text"
525;2457130;2461760;"- N-n-no! U-uh-it's not that... - Really?"
526;2461760;2466190;"- There's no one. It's not like that. - Are you sure about that?"
527;2467340;2471040;"Well, thanks for today. See you at work!"
528;2485740;2487750;"Taki: By the time the date's over,"
529;2487750;2491190;"-you should be able to see the comet in the sky. -"...you should be able to see the comet in the sky.""
530;2494020;2497710;"What does she mean? Weirdo."
531;2525090;2526130;"-Oh."
532;2526130;2527820;"Mitsuha: It's you, Teshi."
533;2528280;2532520;"No. I just didn't feel like goin', that's all. I'm fine."
534;2533490;2536610;"What? The festival?"
535;2536610;2538440;"Ah..."
536;2538440;2543250;"Oh yeah, the comet. It'll be at its brightest today, right?"
537;2543550;2546490;"Okay, got it. Seeya later!"
538;2550030;2553600;"You're just looking forward to seeing mitsuha in a yukata, aren'tcha?"
539;2553600;2555340;"I- I am not!"
540;2555340;2557340;"I mean, it didn't even cross my mind."
541;2558380;2563730;"- Y'know, she sounded kinda down when I talked to her. - Maybe she just didn't want a call from ya."
542;2563730;2565120;"It's not funny!"
543;2565120;2567450;"- Sorry to keep ya. - Oh, she's here! - You're late!"
544;2567560;2570060;"- [Gasp] - [Gasp]"
545;2570060;2574110;"- Mitsuha, what happened to-? - [Gasp]"
546;2574110;2576070;"-Your hair!"
547;2576070;2579200;"I guess... it's weird."
548;2587710;2591120;"You think it's gotta do with some guy. like, he broke her heart?"
549;2591120;2594480;"Guys always just assume that It has to do with a boy."
550;2594480;2601370;"- She said she felt like cuttin' it. - Ya sure about that? You really think she felt like cuttin' off that much of it?"
551;2601370;2604750;"Hey guys, I can see it!"
552;2621750;2625400;"- Whoa, ho-ho! - Whoa... - Ah."
553;2629370;2631590;"Huh?"
554;2642160;2647780;"Phone: "The number you are trying to reach is currently outside the cellular network or has been turned off due-""
555;2650410;2655320;"Taki: I'll just have to tell her how lousy the date ended up the next time we switch."
556;2655320;2657630;"That's what I thought."
557;2657630;2660430;"But, for some reason,"
558;2660430;2664630;"the switches Mitsuha and I had been going through until now..."
559;2664630;2668400;"they never happened again."
560;2701070;2704080;""Mountains in Gifu Prefecture""
561;2714900;2716530;""Hida Mountains""
562;2779270;2780560;"Wha-"
563;2780560;2781940;"What are-"
564;2781940;2784530;"What are you doing here?"
565;2786690;2789580;"Okudera: Tsukasa told me about it, so here I am."
566;2792790;2797900;"I asked for two things: to cover my shift and to back up my alibi if my dad asked."
567;2797900;2799980;"Relax, Takagi's gonna take your shift."
568;2799980;2801400;"Takagi: Gotch'a covered!"
569;2801400;2803350;"But you owe me dinner."
570;2803510;2806600;"- So, you're all in on it... - You've got everyone worried about you."
571;2806600;2810700;"- Huh? - We can't ignore this! What if somebody's trying to pull one over on you?"
572;2810700;2811850;"Like catfish?"
573;2812030;2814330;"I mean, you met this person online, didn't you?"
574;2814330;2816800;"No, not exactly! It's kinda complicated."
575;2816800;2818860;"- Could be from a dating site- - She's NOT!"
576;2819540;2823610;"It's because you've been acting awfully fishy lately, so we're keeping an eye on you."
577;2823620;2825320;"I don't need a babysitter, okay!"
578;2827860;2832980;"Taki: The switches stopped, my calls never connected, and texts never went through."
579;2833160;2837690;"That's why I decided to go see Mitsuha in person."
580;2837690;2840680;"I wanted to see her, but..."
581;2842400;2847730;"-What? You don't know where she is exactly? the town's landscape is your only clue?"
582;2847900;2849740;"Yeah."
583;2851530;2855410;"And you can't contact her? what's that about?"
584;2855620;2858990;"-Where are we? you're a terrible tour guide- -'Cause I'm not one!"
585;2859530;2862570;"Oh, well. Guess we'll help you search."
586;2862570;2867230;"- Aww, it's so cute! Look, Taki! - Seriously, guys?"
587;2867230;2869600;"Okudera: It moved! Awww!"
588;2898310;2899410;"Taki: This is a lost cause."
589;2899410;2900530;"- What?! - What?!"
590;2900530;2903500;"After everything that we've done for you today?!"
591;2906010;2908650;"You haven't done anything!"
592;2911780;2914980;"- One Takayama Ramen. - One Takayama Ramen."
593;2914980;2916500;"I guess I'll have the same."
594;2916500;2917840;"Sure."
595;2917840;2920310;"Waitress: Three orders of ramen. chef: Got it."
596;2922200;2926410;"- Think we can make it back to Tokyo tonight? - Well, I think we'll be cuttin' it close."
597;2926410;2927540;"Let me take a look."
598;2927540;2931180;"- K, thanks. - Wait, Taki. You sure about that?"
599;2932980;2938030;"Yeah. I kinda feel like maybe I've been barking up the wrong tree this whole time."
600;2942020;2945190;"Hey, that's a sketch of Itomori, isn't it?"
601;2946830;2948690;"It's drawn really well."
602;2948690;2951070;"Come take a look at this, hon!"
603;2951860;2955040;"Yeah, that's Itomori. Takes me back."
604;2955040;2957630;"My husband was born and raised there, you know."
605;2957820;2959970;"Itomori?"
606;2961050;2965630;"Yes, of course! That's the place! It's nearby, right?"
607;2965780;2967140;"You don't...?"
608;2967140;2969050;"Itomori was..."
609;2969050;2970990;"Itomori...[Gasp]"
610;2970990;2974640;"- But that's where-! - Wait! Isn't that the area where that comet-?"
611;2975220;2976840;"Huh?"
612;2982320;2985330;""Keep Out""
613;3024000;3025150;"Hey..."
614;3025150;3027280;"Okudera: Is this place really where she's from?"
615;3027280;3031190;"Tsukasa: No way. Taki must have just confused this with somewhere else."
616;3031190;3033300;"Taki: No, I didn't."
617;3033300;3035420;"This was the place."
618;3035420;3037730;"The schoolyard, these mountains,"
619;3037730;3039230;"even this high school here!"
620;3039230;3040790;"I remember it all!"
621;3040790;3042740;"There's no way you could."
622;3042740;3046550;"You've gotta know about that Disaster three years ago, right?"
623;3046750;3051050;"- Hundreds of people died. - They died..."
624;3051050;3053100;"three years ago?"
625;3053100;3055920;"It can't be..."
626;3056120;3057940;"There's no way..."
627;3057940;3059570;"I mean..."
628;3059570;3062250;"I still have the memos she wrote."
629;3079140;3082840;"They're fading."
630;3090830;3095610;"Comet Tiamat, with an orbital period of 1,200 years,"
631;3093330;3097790;""Itomori, the Town that Vanished""
632;3095610;3099780;"made a close approach to Earth three years ago in October."
633;3098040;3101790;""Meteor Strikes, Wipes out Town""
634;3099780;3103850;"Nobody foresaw that its nucleus would split at its perigee."
635;3103300;3104930;""Town Annihilated""
636;3105050;3106600;""Over 500 dead or missing""
637;3106800;3108180;""Itomori, the Town that Vanished""
638;3109790;3114460;"A fragment that broke off of it became a meteor and struck Japan."
639;3113430;3116310;""Itomori, comet, damage""
640;3115710;3119960;"It looks like that day was the same date as the Autumn Festival."
641;3120120;3122490;"The point of impact was here."
642;3122950;3127890;"At 8:42 PM (20:42), it fell right around where people were gathered for the festival."
643;3130320;3133830;""Names of the Victims""
644;3132070;3134300;"Over 500 died."
645;3134300;3136880;"It was a third of the town's population,"
646;3136880;3138880;"and now, nobody lives in Itomori anymore."
647;3148170;3150200;"Teshigawara..."
648;3150200;3151690;"and Sayaka."
649;3152850;3157350;""Mitsuha Miyamizu""
650;3156540;3157710;"That's her?!"
651;3157710;3159940;"You were wrong! You gotta be!"
652;3159940;3163700;"After all, this girl here died three years ago!"
653;3163700;3168420;"Just... two or three weeks ago, she said that I'd be able to see the comet."
654;3168950;3170670;"That means-!"
655;3170670;3175920;"- "You're dreaming right now... aren't you?" - I..."
656;3176440;3179640;"I..."
657;3179640;3180640;"What..."
658;3180640;3181370;"was I?"
659;3195100;3196970;"Sounds lively over there."
660;3196970;3199970;"They only have one room left. I'm really sorry."
661;3199970;3201880;"It's not a problem."
662;3202340;3203600;"How's Taki?"
663;3203600;3206210;"He's still reading articles on Itomori."
664;3206210;3210890;"He's goin' through all those newspapers and magazines at random. Seems obsessive."
665;3215290;3218380;"- What is it? - Oh, sorry. You smoke, huh?"
666;3218690;3222070;"Yeah. I did quit at one point."
667;3223020;3226100;"What do you think about what Taki's been saying?"
668;3228820;3231550;"I had feelings for him, y'know."
669;3231550;3233780;"The way he's been recently."
670;3233780;3237750;"I mean, he was a nice guy before, but he's even nicer now."
671;3238370;3240770;"Kind-of... frantic."
672;3240770;3242800;"It was cute."
673;3242800;3247480;"Although, I do think what he's been telling us is definitely strange-sounding."
674;3249250;3255440;"But in the end, the fact remains that Taki's met someone, and that someone is the reason he changed."
675;3255840;3259700;"That much is for sure."
676;3256940;3259850;""Worst-Ever Itomori Comet Disaster""
677;3273220;3275720;"It was all just a dream."
678;3276590;3278590;"I recognized the landscape"
679;3278590;3283110;"because I unconsciously remembered the news from three years ago."
680;3283960;3286870;"If it's not that, is she... a ghost?"
681;3287260;3288890;"Or..."
682;3288890;3290780;"did I just make it up?"
683;3290780;3292440;"The whole thing?"
684;3295770;3298300;"What was her name?"
685;3298300;3300300;"I can't remember."
686;3302020;3304630;"Tsukasa said he was gonna go ahead and take a bath."
687;3304700;3306420;"Ms. Okudera,"
688;3306420;3307530;"Uh..."
689;3307530;3309080;"I, um..."
690;3309080;3312590;"I realize I've been saying a lot of strange things."
691;3312590;3315100;"I'm really sorry, and thank you."
692;3320000;3321640;""The Tatara Iron-Making Site""
693;3321640;3324510;""The Braided Cords of Itomori""
694;3323360;3325810;"Braided cords. Pretty."
695;3326530;3328540;"That band on your wrist."
696;3328540;3331490;"- That's one, isn't it? - Hm? Oh."
697;3331490;3333230;"This thing? Guess so."
698;3333230;3334620;"Somebody..."
699;3334620;3337000;"Someone gave it to me."
700;3337000;3340470;"I wear it sometimes as... Kind-of a lucky charm."
701;3342580;3344030;"Who was it?"
702;3346150;3351970;"- It's late. Why don't you go Down and take a bath, too? - Sure-wait."
703;3354300;3357100;"Yeah. Someone who makes these,"
704;3357100;3359100;"they once told me something."
705;3359100;3362100;"The cords represent the flow of time."
706;3362100;3363870;"They twist and tangle,"
707;3363870;3365680;"unravel and connect,"
708;3365680;3368710;"and that's what time is."
709;3370320;3371690;"Maybe if I could-"
710;3389570;3392200;""Around here?""
711;3397820;3399720;"Taki..."
712;3399730;3401700;"Distant Voice: Taki."
713;3401700;3404710;"Taki!"
714;3404710;3406620;"Don't you remember?!"
715;3406620;3409040;"[Gasp]"
716;3420830;3425840;""I have to go somewhere. Go back to Tokyo without me. I'll return later. Thanks.""
717;3429110;3430110;"Taki..."
718;3454560;3456730;"Eat this bento up there."
719;3457720;3461990;"Your drawing of Itomori. you did a real good job."
720;3499370;3501860;"-They assemble and take shape,"
721;3501860;3503600;"they twist, tangle,"
722;3503600;3505280;"unravel now and then,"
723;3505280;3506050;"break,"
724;3506050;3507980;"and reconnect."
725;3508610;3510490;"That's what a union is."
726;3510490;3512920;"What time is."
727;3523910;3526370;"There it is."
728;3527400;3528990;"It's really there!"
729;3529940;3531080;"It wasn't..."
730;3531080;3533380;"a dream."
731;3563410;3566990;"What lies ahead is the netherworld."
732;3589470;3591690;"It's still here."
733;3592800;3597380;"This was Yotsuha's, and this was mine."
734;3599410;3601270;"This was before the comet."
735;3601780;3603980;"So when I switched places with her,"
736;3604300;3607010;"it was also three years in the past."
737;3608250;3612020;"Our times... got tangled somehow."
738;3612750;3615580;"This is... half of her."
739;3629850;3630970;"Musubi,"
740;3632220;3636020;"if it's true, and time can be unraveled,"
741;3636020;3639070;"just give me one more chance."
742;3649290;3650940;"Agh!"
743;3651360;3652780;"[Gasp]"
744;3652780;3655000;"A comet!"
745;3661030;3664030;"ngh! Hh..."
746;3708200;3716790;"[Heartbeat]"
747;3716790;3720930;"- [Crying] - Your name's going to be..."
748;3720930;3722180;"Mitsuha."
749;3728670;3731040;"Both of you are my treasures."
750;3731040;3734140;"You're going to be a big sister!"
751;3733320;3734790;""Get well soon, Mom!""
752;3736060;3740310;"I'm so sorry, my dears..."
753;3740770;3743980;"Dad, when is mommy coming home?"
754;3744760;3748080;"- I couldn't help her! - Get ahold of yourself!"
755;3748080;3751350;"- Who cares about the shrine?! - But you're in charge now!"
756;3751350;3755260;"- I loved Futaba, not Miyamizu Shrine! - Get out!"
757;3758550;3760540;"Now listen to me, girls."
758;3760540;3764980;"Starting today, you'll be living with grandma."
759;3769180;3770430;""Who are you?""
760;3769220;3771800;""Who am I?" Who are you?"
761;3770430;3771680;""Mitsuha""
762;3771680;3772780;""Idiot""
763;3771800;3773290;"Don't be full of yourself!"
764;3773290;3775380;"Like you have a girlfriend!"
765;3775380;3776800;"Must be nice."
766;3776800;3779310;"They've probably met up about now."
767;3780480;3781830;"Why am I...?"
768;3781830;3786090;"- I'm going to Tokyo. - What?! Wait, Sis!"
769;3787540;3789050;"Grandma?"
770;3789050;3792080;"Would you mind doing me a favor?"
771;3792080;3795100;"Oh yeah, the comet."
772;3795100;3798170;"It'll be at its brightest today, right?"
773;3798170;3800570;"-Mitsuha, don't go there!"
774;3801230;3802620;"Mitsuha!"
775;3802620;3806070;"You've gotta get out of town before the comet strikes!"
776;3806070;3808160;"[Gasp]"
777;3808160;3810600;"Mitsuha, run!"
778;3810660;3817340;"Mitsuha! Mitsuha! Mitsuha!"
779;3822540;3825010;"[Gasp]"
780;3833860;3835350;"Taki (as Mitsuha): Mitsuha."
781;3835350;3837980;"She's alive!"
782;3838630;3844330;"[Sobbing]"
783;3847510;3849580;"Let me guess, you're touching your boo-"
784;3849580;3850670;"[Gasp]"
785;3850930;3854770;"[Crying] Her sister!"
786;3856140;3858330;"Yotsuha!"
787;3858330;3859350;"Yotsuha: Ungh!"
788;3859350;3861670;"[Shudder]"
789;3861670;3864170;"I think she's finally lost it."
790;3864170;3867540;"Just for today, I-I'm gonna head out first..."
791;3867540;3868860;"She's lost it..."
792;3868860;3870070;"Really lost it..."
793;3870070;3871410;"Totally!"
794;3871410;3872660;"Totally..."
795;3872660;3878410;"-For all you stargazers out there, the comet Tiamat has been visible to the naked eye for about a week now."
796;3878410;3884770;"Tonight, it will finally reach its perigee around 7:40 PM (19:40), and be at its maximum brightness when viewed from the Earth's..."
797;3884770;3887730;"It's tonight! There's still time left!"
798;3888160;3890220;"Mornin', Mitsuha!"
799;3890220;3892510;"What's this?"
800;3892510;3893850;"Hold on..."
801;3893850;3897690;"- You're not Mitsuha, are you? - W-wait, how did you-?"
802;3898120;3900170;"You already knew?"
803;3900170;3907200;"No, but watching the way you've been behaving lately stirred some memories up."
804;3907550;3909890;"When I was a young girl,"
805;3909890;3913010;"I had some pretty strange dreams myself."
806;3913010;3913810;"Huh?"
807;3913810;3920710;"Though it's been so long, the memories of who I became In those dreams have pretty much faded at this point."
808;3920710;3921940;"Faded?"
809;3921960;3927230;"Treasure the experience. Dreams eventually will fade away."
810;3927230;3930050;"I went through similar times myself,"
811;3930050;3932700;"and so did your mother."
812;3933200;3934310;"What if..."
813;3934310;3936960;"all those dreams that the Miyamizu people had!"
814;3936960;3939300;"It had to do with today!"
815;3939950;3942720;"Grandma, you have to listen to me!"
816;3943040;3944490;"Tonight,"
817;3944490;3946800;"the comet is going to fall on Itomori!"
818;3946800;3949190;"- You're all gonna die! - Huh?"
819;3955390;3957390;""Nobody's gonna believe that?""
820;3957390;3960340;"I didn't expect that out of Mitsuha's grandma."
821;3960340;3964270;"It doesn't matter! there's no way I'm gonna let them all die!"
822;3964820;3966280;"Mitsuha!"
823;3966280;3967820;"What happened... to-?"
824;3969150;3970550;"What'd you-?"
825;3970550;3971520;"Your hair!"
826;3971520;3976000;"-Ugh, the haircut? looked better before, huh? -No, i-i-it's good!"
827;3976000;3980690;"Nevermind that! If we don't do something about tonight, we'll all die!"
828;3982410;3985400;"It's up to us to save everyone!"
829;3989350;3991410;"Wait, shouldn't you be in school?"
830;3991410;3996120;"Well, we sort-of have to save the town, or something."
831;3996120;3997120;"Heh?"
832;3997820;4001380;"- The warning system? - Yeah, those speakers all over the town."
833;4001470;4004890;""Superimposition, frequency""
834;4005400;4008280;"I get it. It could work!"
835;4008280;4012540;"- Niiiice job, Teshi. - Hey, I don't think you should be sittin' so close to me."
836;4012540;4016150;"- What's wrong. Uh-oh! You shyyy? - Would you quit it?!"
837;4016150;4018400;"It ain't proper and you know it!"
838;4018400;4020880;""Club Discontinued - Keep Out""
839;4019680;4021830;"Taki (as Mitsuha): T-hahahahaha!"
840;4021830;4025130;"Such a gentleman."
841;4026060;4028000;"I bought all the snacks, guys."
842;4028000;4030470;"- Here's the change. - Sorry for the trouble."
843;4030470;4031470;"I didn't mind."
844;4031590;4034660;"- We oughta be gettin' paid. - Quit complaining."
845;4035500;4037670;"So? Wha'dcha come up with?"
846;4037670;4040080;"Got an evacuation plan?"
847;4043090;4044610;"A- A-"
848;4044610;4046020;"A BOMB?!"
849;4046020;4050370;"Yeah, we have water gel explosives we use for construction at our storage site."
850;4050370;4053010;"AND the warning system?"
851;4053360;4057150;"Our startup frequency can hijack the town's warning system pretty easily,"
852;4057150;4061340;"so we can broadcast an evacuation warning for the whole town right from school!"
853;4061380;4063690;"Look, we're outside the disaster area here,"
854;4063690;4066460;"so we'll just make an announcement to evacuate to the school."
855;4066460;4067770;"It's-"
856;4067770;4070970;"- It's totally a crime! - You'll be in charge of the broadcast, Saya."
857;4070970;4073460;"- Why me?! - You're in the Broadcast Club."
858;4073590;4077250;"- And I'll be in charge of the explosives. - While I go have a word with the mayor."
859;4077250;4082140;"- Why? - 'Cause if the evacuation order's not comin' from Town Hall, then nobody's gonna go anyway."
860;4082140;4085470;"But if I talk to the mayor, as his daughter, I can convince him."
861;4085470;4088120;"It's the perfect plan!"
862;4088700;4091300;"Fine, I don't really care one way or the other."
863;4091300;4094190;"This is just a theory of yours, right?"
864;4094800;4095810;"Well..."
865;4095810;4101590;"Theories can be based on reality. Like, do you know the story of how Itomori Lake was formed? It's a crater!"
866;4099750;4103750;""A meteor crater lake formed 1,200 years ago.""
867;4101590;4108090;"- That means a meteor hit this area at least once a thousand years ago! - Right. That's why-!"
868;4108090;4109890;"Nice one, Teshi!"
869;4113620;4115520;"- Let's go evacuate the town! - Let's go evacuate the town!"
870;4119700;4122710;"Mitsuha's Father: What on earth are you talking about?!"
871;4123720;4125040;"Like I said,"
872;4125040;4130000;"-We have to evacuate everyone In town before tonight or else- -Enough! Shut up!"
873;4134580;4138470;""The comet's going to split In two and strike the town?""
874;4138020;4141010;""Itomori Town Hall""
875;4138470;4141140;""Over 500 will die?""
876;4141140;4144620;"How dare you stand there and spout such nonsense!"
877;4145110;4148030;"If you're serious, you must be sick!"
878;4148030;4152000;"I guess recklessness is a Miyamizu trait."
879;4152820;4156450;"I'll have a car take you to the city hospital for an examination."
880;4156450;4160380;"We will continue this discussion after you've seen a doctor."
881;4161820;4163880;"You!"
882;4164570;4168010;"You son of a- !"
883;4174440;4176000;"Mitsuha's Father: Mitsuha..."
884;4177020;4178390;"No..."
885;4178970;4180410;"Wait a minute..."
886;4181520;4183590;"Who are you?"
887;4198000;4201950;"-I'll see you guys at the festival, ba-bye! -We'll meet ya at the step stone shrine. Don't be late, k?"
888;4201950;4204910;"- Ba-bye! - Seeya! - Later!"
889;4206030;4207710;"You shouldn't go!"
890;4207710;4211880;"-You've got to leave town! tell all of your friends! -What's wrong with you?!"
891;4211880;4215300;"- Mitsuha! - What was that about? - Come on, let's go."
892;4215300;4217700;"What are you doing, huh?"
893;4218060;4220030;"If it was Mitsuha,"
894;4220030;4222320;"would she have been able to convince him?"
895;4222320;4224190;"- Is all this my fault?! - Huh?!"
896;4224190;4227930;"Yotsuha, promise me that you'll leave town with grandma before dark!"
897;4227930;4228570;"What?!"
898;4228570;4231670;"- You're gonna die if you stay here! - What are you talking about?!"
899;4231670;4237530;"And why did you suddenly go to Tokyo yesterday?! you've been acting really strange lately!"
900;4238300;4242750;"- Went to Tokyo? - Hey! Mitsuha!"
901;4244700;4246960;"How'd it go with your old man?"
902;4248810;4251250;"Hey, Mitsuha!"
903;4251250;4252900;"What's with your sister?"
904;4252900;4255280;"Don't know."
905;4262360;4263510;"[Ding]"
906;4264070;4266410;"Could she be over there?"
907;4266580;4268890;"What's that? What's over there?"
908;4269210;4272030;"- Let me use your bike, Teshi. - Hey."
909;4272030;4274040;"Mitsuha."
910;4274350;4276060;"And what do we do?"
911;4276060;4278200;"Get things ready like we planned!"
912;4278200;4280930;"I'm counting on you!"
913;4306360;4309010;"Mitsuha: Oh my gosh! I'm Taki again!"
914;4312090;4314630;"What's Taki doin' out here?"
915;4323710;4325480;"The town!"
916;4325480;4327370;"It's gone!"
917;4336780;4338000;"So..."
918;4338540;4340000;"does that mean..."
919;4342350;4344910;"I... died?!"
920;4354800;4356710;""Taki.""
921;4356710;4359020;""Taki!""
922;4360140;4361800;""Don't you remember?!""
923;4374520;4376550;"I'm going to Tokyo for a few hours."
924;4376550;4378370;"Wha? Right now?"
925;4378370;4379800;"- But why? - Uh..."
926;4379800;4381210;"For a date."
927;4381210;4385320;"- You have a boyfriend in Tokyo?! - I-I didn't say it was a date for me."
928;4386730;4389000;""I'll be back tonight.""
929;4391440;4397000;"Mitsuha: If I suddenly show up, will it be a nuisance or a surprise?"
930;4397000;4400000;"He might not like it if I do."
931;4407060;4411370;""The number you are trying to reach Is currently outside the cellular network.""
932;4411370;4414620;"I guess it won't happen, but..."
933;4414620;4416640;"What if it did?"
934;4416640;4418590;"What would I do?"
935;4418590;4420640;"Would I annoy him?"
936;4420330;4423330;""Tiamat Makes closest Approach Tomorrow""
937;4420640;4424750;"Would it be awkward, or maybe..."
938;4424750;4427990;"he'd be glad to see me."
939;4428300;4432590;""The number you are trying to reach Is currently outside the cellular network.""
940;4433350;4435870;"I guess we won't meet."
941;4436970;4441860;"But... there's one thing I'm certain of."
942;4442330;4444520;"If we see each other,"
943;4444520;4447320;"We'll definitely know right away..."
944;4447840;4451530;"that you were the one who was in me,"
945;4451530;4454800;"and that I was the one who was in..."
946;4454800;4456550;"- you. - Sorry!"
947;4478580;4479640;"[Gasp]"
948;4487860;4490000;"'Scuse me."
949;4509740;4512000;"Taki: Agh!"
950;4521410;4522630;"That time..."
951;4522630;4524230;"three years ago."
952;4524230;4526290;"Before I even knew you..."
953;4529490;4531830;"Mitsuha: [Whispering] Taki..."
954;4531830;4534800;"Taki?"
955;4534800;4537010;"- Taki! - Huh?"
956;4537130;4540000;"Uh... It's me!"
957;4541710;4544410;"- Don't you... remember? - Uh..."
958;4545110;4548010;"Sorry, who are you?"
959;4551610;4553470;"I- I'm sorry."
960;4556690;4558000;"Ah!"
961;4560740;4563000;"Mitsuha: But, he's Taki!"
962;4563750;4564960;"Taki: What a weird girl."
963;4565190;4569070;"Train announcer: "Yotsuya. Yotsuya. stay clear of the doors.""
964;4574110;4575620;"- Hold on! - Huh?"
965;4575870;4577620;"- Egh! - What's your name?"
966;4578410;4580100;"Mitsuha!"
967;4580100;4581360;"My name is..."
968;4581360;4583480;""Mitsuha!""
969;4588980;4591230;"Taki (as Mitsuha): Three years ago..."
970;4591230;4593230;"you showed up."
971;4593230;4597010;"It was... to see me!"
972;4607590;4609940;"Mitsuha (as Taki): Taki."
973;4617500;4620360;"[Echoing] Mitsuha!"
974;4620360;4622690;"Taki?"
975;4636290;4638340;"Mitsuha!"
976;4638340;4640500;"You're here, right?"
977;4640500;4642520;"Inside my body?"
978;4642520;4644730;"Taki?!"
979;4644730;4647080;"Taki, where are you?!"
980;4647080;4649250;"Taki (as Mitsuha): That was Mitsuha."
981;4649250;4651140;"I can hear her voice, but..."
982;4652090;4654850;"Taki, where are you?"
983;4655250;4657200;"Taki!!"
984;4660790;4661930;"[Ding]"
985;4661930;4662940;"- Uh! - Huh?"
986;4669640;4674890;"Mitsuha (as Taki): Taki, are you...? taki (as Mitsuha)i: Are you there?"
987;4699840;4701050;"- Magic hour. - Magic hour."
988;4701050;4702050;"[Gasp]"
989;4703730;4705020;"Uh..."
990;4715890;4716910;"Taki: Mitsuha."
991;4723600;4724850;"Mitsuha: Taki."
992;4725760;4727000;"Taki!"
993;4727570;4729730;"[Sobbing] You're really here!"
994;4733930;4737080;"- Taki! - I came all this way to see you,"
995;4737260;4739150;"which wasn't easy..."
996;4739150;4741630;"since you were pretty far away."
997;4742750;4744560;"How is that even...?"
998;4744560;4746210;"Because, back then!"
999;4746210;4749400;"Well, I drank some of your kuchikamizake."
1000;4749440;4751370;"Huh?"
1001;4751370;4753050;"Oh..."
1002;4753050;4755210;"You... you drank that?!"
1003;4755210;4755940;"Huh?"
1004;4755940;4758240;"- STUPID PERVERT! - Wha-WHA?!"
1005;4758240;4761250;"Mitsuha: Yeah, that's right! You were touching my boobies, WEREN'T YOU?!"
1006;4761250;4762120;"Taki: WHA- ?!"
1007;4762120;4764950;"- Wha-ho-how do you even- ?! - 'Cause Yotsuha saw you!"
1008;4764950;4767440;"I just-I couldn't help myself!"
1009;4767440;4770680;"- But it was just the one time! - "Just the one time?""
1010;4772820;4775350;"How many times is it the issue?!"
1011;4775350;4776740;"Sorry!"
1012;4776740;4777940;"Wait..."
1013;4777940;4779040;"Is that...?"
1014;4779510;4780220;"Oh."
1015;4780220;4783700;"Yeah, it's yours, but you visited before I knew you."
1016;4783700;4785980;"So, I didn't know who you were."
1017;4786380;4787910;"Here."
1018;4787910;4790300;"I kept it for three years,"
1019;4790300;4794000;"but I think it's time you got it back."
1020;4802770;4805530;"- Whaddya think? - Oh, uh, well..."
1021;4805530;4810100;"- it's not bad. - Oh, you're lyin'!"
1022;4810100;4810810;"Busted!"
1023;4810810;4813390;"Why you gotta be like that?"
1024;4814200;4824900;"- [Laughing] - [Laughing]"
1025;4827380;4829120;"Hey, Mitsuha."
1026;4829120;4831200;"You still have a lot to do."
1027;4831200;4832760;"Listen."
1028;4832760;4835410;"- It's coming. - Don't worry."
1029;4835410;4837760;"- You still have enough time. - [Nod]"
1030;4837760;4839700;"I'll do my best."
1031;4840620;4843410;"It looks like magic hour is almost..."
1032;4843410;4845010;"over."
1033;4846750;4848270;"Hey, Mitsuha."
1034;4848270;4851560;"Just so we don't forget things when we wake up..."
1035;4855280;4857990;"Let's write down our names."
1036;4857990;4860150;"Here."
1037;4870920;4872970;"Mitsuha."
1038;4874770;4876120;"Hey."
1039;4876120;4878120;"Mitsuha?"
1040;4885550;4887990;"I was planning to tell you..."
1041;4888810;4890890;"that wherever you are in the world,"
1042;4890890;4895020;"I swear that I'll find you again, no matter what."
1043;4897480;4898560;"Your name..."
1044;4898560;4900550;"is Mitsuha."
1045;4901130;4902360;"It'll be okay!"
1046;4902360;4903920;"I'll remember!"
1047;4903920;4904660;"Mitsuha."
1048;4904820;4905620;"Mitsuha."
1049;4905620;4906610;"Mitsuha!"
1050;4906610;4908040;"Your name is Mitsuha!"
1051;4908040;4909310;"Your name is-!"
1052;4920530;4922040;"Who..."
1053;4922040;4924040;"are you?"
1054;4925090;4926180;"And what..."
1055;4926180;4928930;"did I even come here for?"
1056;4928930;4929910;"I came..."
1057;4929910;4932180;"I came all this way to see her!"
1058;4932180;4933930;"I came to save her!"
1059;4933930;4936110;"I wanted her to be alive!"
1060;4936110;4937610;"Who was it again?"
1061;4937610;4938640;"Who?"
1062;4938640;4940590;"Who did I come to see?"
1063;4940590;4942170;"Someone precious!"
1064;4942170;4944600;"Someone I don't wanna forget!"
1065;4944600;4946750;"Someone I shouldn't!"
1066;4946750;4948170;"Who was it?"
1067;4948170;4949750;"Who was it?!"
1068;4949750;4950640;"Who?!"
1069;4950890;4951890;"Who?!"
1070;4951890;4954730;"What's your name?!"
1071;4968440;4969730;"Mitsuha: Taki."
1072;4969730;4970810;"Taki."
1073;4970810;4972220;"Taki."
1074;4972220;4973470;"It'll be fine!"
1075;4973470;4974670;"I remember!"
1076;4974670;4976410;"I'll never forget!"
1077;4976410;4977470;"Taki."
1078;4977590;4978850;"Taki."
1079;4978850;4980140;"Your name is..."
1080;4980140;4982990;"Taki!"
1081;4991400;4993400;""Itomori Substation""
1082;4996370;4997860;"Teshi!"
1083;4997860;4998860;"Mitsuha!"
1084;4999310;5002680;"- Where the heck have you been? - He said sorry for breakin' your bike."
1085;5002680;5004440;"Wha? Who did?"
1086;5004440;5006000;"I did!"
1087;5006580;5009530;"You're gonna have to Explain it to me later."
